Source IS,Target IS,Tenders Citing Source,Tenders Citing Target,Co-citation Count,Confidence,Lift,Evidence Statement
IS 3427,IS 6600,11,13,5,0.455,42.378,Cited alongside IS 3427 in 5 of 11 comparable tenders
IS 1538,IS 1651,11,14,5,0.455,39.351,Cited alongside IS 1538 in 5 of 11 comparable tenders
IS 1538,IS 3346,11,6,5,0.455,91.818,Cited alongside IS 1538 in 5 of 11 comparable tenders
IS 1538,IS 4029,11,8,5,0.455,68.864,Cited alongside IS 1538 in 5 of 11 comparable tenders
IS 1538,IS 5290,11,7,5,0.455,78.701,Cited alongside IS 1538 in 5 of 11 comparable tenders
IS 1538,IS 7816,11,6,5,0.455,91.818,Cited alongside IS 1538 in 5 of 11 comparable tenders
IS 1363,IS 1893,11,18,5,0.455,30.606,Cited alongside IS 1363 in 5 of 11 comparable tenders
IS 1538,IS 2959,11,7,5,0.455,78.701,Cited alongside IS 1538 in 5 of 11 comparable tenders
IS 1538,IS 3975,11,31,5,0.455,17.771,Cited alongside IS 1538 in 5 of 11 comparable tenders
IS 1538,IS 903,11,15,5,0.455,36.727,Cited alongside IS 1538 in 5 of 11 comparable tenders
IS 1599,IS 2062,11,159,5,0.455,3.465,Cited alongside IS 1599 in 5 of 11 comparable tenders
IS 814,IS 817,11,5,5,0.455,110.182,Cited alongside IS 814 in 5 of 11 comparable tenders
IS 15885 (Part 2),IS 10322 (Part 1),11,12,5,0.455,45.909,Cited alongside IS 15885 (Part 2) in 5 of 11 comparable tenders
IS 15885 (Part 2),IS 16107 (Part 2),11,8,5,0.455,68.864,Cited alongside IS 15885 (Part 2) in 5 of 11 comparable tenders
IS 14286,IS 61730,11,5,5,0.455,110.182,Cited alongside IS 14286 in 5 of 11 comparable tenders
IS 806,IS 14246,11,33,5,0.455,16.694,Cited alongside IS 806 in 5 of 11 comparable tenders
IS 1948,IS 6533 (Pt (i),11,16,5,0.455,34.432,Cited alongside IS 1948 in 5 of 11 comparable tenders
IS 7098 (Part 1),IS 5831,20,51,9,0.45,10.694,Cited alongside IS 7098 (Part 1) in 9 of 20 comparable tenders
IS 2099,IS 6005,20,13,9,0.45,41.954,Cited alongside IS 2099 in 9 of 20 comparable tenders
IS 554,IS 3043,20,54,9,0.45,10.1,Cited alongside IS 554 in 9 of 20 comparable tenders
IS 554,IS 325,20,37,9,0.45,14.741,Cited alongside IS 554 in 9 of 20 comparable tenders
