Source IS,Target IS,Tenders Citing Source,Tenders Citing Target,Co-citation Count,Confidence,Lift,Evidence Statement
IS 9103,IS 269,19,14,8,0.421,36.451,Cited alongside IS 9103 in 8 of 19 comparable tenders
IS 9103,IS 516,19,14,8,0.421,36.451,Cited alongside IS 9103 in 8 of 19 comparable tenders
IS 9103,IS 694,19,120,8,0.421,4.253,Cited alongside IS 9103 in 8 of 19 comparable tenders
IS 1248,IS 10418,19,27,8,0.421,18.901,Cited alongside IS 1248 in 8 of 19 comparable tenders
IS 1248,IS 3975,19,31,8,0.421,16.462,Cited alongside IS 1248 in 8 of 19 comparable tenders
IS 1235,IS 2548 (Pt 1&2- (i),19,10,8,0.421,51.032,Cited alongside IS 1235 in 8 of 19 comparable tenders
IS 2209,IS 2548 (Pt 1&2- (i),19,10,8,0.421,51.032,Cited alongside IS 2209 in 8 of 19 comparable tenders
IS 651,IS 875,24,48,10,0.417,10.521,Cited alongside IS 651 in 10 of 24 comparable tenders
IS 774,IS 875,24,48,10,0.417,10.521,Cited alongside IS 774 in 10 of 24 comparable tenders
IS 3564,IS 2548 (Pt 1&2- (i),24,10,10,0.417,50.5,Cited alongside IS 3564 in 10 of 24 comparable tenders
IS 651,IS 2548 (Pt 1&2- (i),24,10,10,0.417,50.5,Cited alongside IS 651 in 10 of 24 comparable tenders
IS 774,IS 2548 (Pt 1&2- (i),24,10,10,0.417,50.5,Cited alongside IS 774 in 10 of 24 comparable tenders
IS 13095,IS 13947,12,37,5,0.417,13.649,Cited alongside IS 13095 in 5 of 12 comparable tenders
IS 13095,IS 14846,12,9,5,0.417,56.111,Cited alongside IS 13095 in 5 of 12 comparable tenders
IS 13095,IS 2026,12,26,5,0.417,19.423,Cited alongside IS 13095 in 5 of 12 comparable tenders
IS 13095,IS 2099,12,20,5,0.417,25.25,Cited alongside IS 13095 in 5 of 12 comparable tenders
IS 13095,IS 269,12,14,5,0.417,36.071,Cited alongside IS 13095 in 5 of 12 comparable tenders
IS 13095,IS 2705,12,29,5,0.417,17.414,Cited alongside IS 13095 in 5 of 12 comparable tenders
IS 13095,IS 458,12,13,5,0.417,38.846,Cited alongside IS 13095 in 5 of 12 comparable tenders
IS 13095,IS 5082,12,25,5,0.417,20.2,Cited alongside IS 13095 in 5 of 12 comparable tenders
IS 13095,IS 781,12,7,5,0.417,72.143,Cited alongside IS 13095 in 5 of 12 comparable tenders
IS 13095,IS 783,12,8,5,0.417,63.125,Cited alongside IS 13095 in 5 of 12 comparable tenders
IS 13095,IS 8130,12,56,5,0.417,9.018,Cited alongside IS 13095 in 5 of 12 comparable tenders
IS 13095,IS 8329,12,14,5,0.417,36.071,Cited alongside IS 13095 in 5 of 12 comparable tenders
IS 13095,IS 875,12,48,5,0.417,10.521,Cited alongside IS 13095 in 5 of 12 comparable tenders
IS 13095,IS 9523,12,8,5,0.417,63.125,Cited alongside IS 13095 in 5 of 12 comparable tenders
IS 13095,IS 9595,12,13,5,0.417,38.846,Cited alongside IS 13095 in 5 of 12 comparable tenders
IS 16104,IS 15885 (Part 2),12,11,5,0.417,45.909,Cited alongside IS 16104 in 5 of 12 comparable tenders
IS 4722,IS 10000,12,8,5,0.417,63.125,Cited alongside IS 4722 in 5 of 12 comparable tenders
IS 4722,IS 11149,12,9,5,0.417,56.111,Cited alongside IS 4722 in 5 of 12 comparable tenders
IS 4722,IS 1231,12,33,5,0.417,15.303,Cited alongside IS 4722 in 5 of 12 comparable tenders
IS 4722,IS 13947,12,37,5,0.417,13.649,Cited alongside IS 4722 in 5 of 12 comparable tenders
IS 4722,IS 2629,12,33,5,0.417,15.303,Cited alongside IS 4722 in 5 of 12 comparable tenders
IS 4722,IS 2705,12,29,5,0.417,17.414,Cited alongside IS 4722 in 5 of 12 comparable tenders
IS 4722,IS 4894,12,8,5,0.417,63.125,Cited alongside IS 4722 in 5 of 12 comparable tenders
IS 4722,IS 638,12,7,5,0.417,72.143,Cited alongside IS 4722 in 5 of 12 comparable tenders
IS 4722,IS 655,12,8,5,0.417,63.125,Cited alongside IS 4722 in 5 of 12 comparable tenders
IS 4722,IS 732,12,20,5,0.417,25.25,Cited alongside IS 4722 in 5 of 12 comparable tenders
IS 4722,IS 780,12,12,5,0.417,42.083,Cited alongside IS 4722 in 5 of 12 comparable tenders
IS 4722,IS 800,12,27,5,0.417,18.704,Cited alongside IS 4722 in 5 of 12 comparable tenders
IS 4722,IS 816,12,19,5,0.417,26.579,Cited alongside IS 4722 in 5 of 12 comparable tenders
IS 4722,IS 8183,12,10,5,0.417,50.5,Cited alongside IS 4722 in 5 of 12 comparable tenders
IS 4722,IS 875,12,48,5,0.417,10.521,Cited alongside IS 4722 in 5 of 12 comparable tenders
IS 4722,IS 9595,12,13,5,0.417,38.846,Cited alongside IS 4722 in 5 of 12 comparable tenders
IS 780,IS 10262,12,6,5,0.417,84.167,Cited alongside IS 780 in 5 of 12 comparable tenders
IS 780,IS 1161,12,18,5,0.417,28.056,Cited alongside IS 780 in 5 of 12 comparable tenders
IS 780,IS 2685,12,5,5,0.417,101.0,Cited alongside IS 780 in 5 of 12 comparable tenders
IS 780,IS 269,12,14,5,0.417,36.071,Cited alongside IS 780 in 5 of 12 comparable tenders
IS 780,IS 2705,12,29,5,0.417,17.414,Cited alongside IS 780 in 5 of 12 comparable tenders
IS 780,IS 2906,12,5,5,0.417,101.0,Cited alongside IS 780 in 5 of 12 comparable tenders
IS 780,IS 432,12,10,5,0.417,50.5,Cited alongside IS 780 in 5 of 12 comparable tenders
IS 780,IS 458,12,13,5,0.417,38.846,Cited alongside IS 780 in 5 of 12 comparable tenders
IS 780,IS 4722,12,12,5,0.417,42.083,Cited alongside IS 780 in 5 of 12 comparable tenders
IS 780,IS 516,12,14,5,0.417,36.071,Cited alongside IS 780 in 5 of 12 comparable tenders
IS 780,IS 5312,12,8,5,0.417,63.125,Cited alongside IS 780 in 5 of 12 comparable tenders
IS 780,IS 5831,12,51,5,0.417,9.902,Cited alongside IS 780 in 5 of 12 comparable tenders
IS 780,IS 732,12,20,5,0.417,25.25,Cited alongside IS 780 in 5 of 12 comparable tenders
IS 780,IS 803,12,5,5,0.417,101.0,Cited alongside IS 780 in 5 of 12 comparable tenders
IS 780,IS 8112,12,33,5,0.417,15.303,Cited alongside IS 780 in 5 of 12 comparable tenders
IS 780,IS 816,12,19,5,0.417,26.579,Cited alongside IS 780 in 5 of 12 comparable tenders
IS 780,IS 875,12,48,5,0.417,10.521,Cited alongside IS 780 in 5 of 12 comparable tenders
IS 780,IS 9595,12,13,5,0.417,38.846,Cited alongside IS 780 in 5 of 12 comparable tenders
