Tender ID,GeM Bid Id,Product Family,IS Numbers Cited,Count,Outdated Citations,Any Outdated,Unmatched Citations,Usability,OCR Pages,OCR Characters,OCR Dropped
GEM/2025/B/5987481,7564804.0,Unclassified,,0,,Not checked,,Read by OCR,20,9203,
GEM/2025/B/6002343,7581935.0,Unclassified,,0,,Not checked,,Read by OCR,2,2908,
GEM/2025/B/6002911,7582568.0,Unclassified,,0,,Not checked,,Read by OCR,2,2251,
GEM/2025/B/6003674,7583437.0,Unclassified,,0,,Not checked,,Read by OCR,2,3493,
GEM/2025/B/6000239,7579503.0,Unclassified,,0,,Not checked,,Read by OCR,12,9886,
GEM/2025/B/6002964,7582624.0,Unclassified,,0,,Not checked,,Read by OCR,3,2416,
GEM/2025/B/6007667,7587987.0,Unclassified,,0,,Not checked,,Read by OCR,1,2259,
GEM/2025/B/6009810,7590398.0,Unclassified,,0,,Not checked,,Read by OCR,1,843,
GEM/2025/B/6006383,7586566.0,Unclassified,,0,,Not checked,,Read by OCR,5,3870,
GEM/2025/B/6009982,7590587.0,Unclassified,,0,,Not checked,,Read by OCR,1,531,
GEM/2025/B/6010226,7590860.0,Unclassified,,0,,Not checked,,Read by OCR,3,1087,
GEM/2025/B/6011693,7592548.0,Unclassified,,0,,Not checked,,Read by OCR,2,349,
GEM/2025/B/6010265,7590900.0,Unclassified,,0,,Not checked,,Read by OCR,2,2856,
GEM/2025/B/6007709,7588030.0,Unclassified,,0,,Not checked,,Read by OCR,5,4555,
GEM/2025/B/6012953,7593968.0,Unclassified,,0,,Not checked,,Read by OCR,1,801,
GEM/2025/B/6015417,7596992.0,Unclassified,,0,,Not checked,,Not extractable,1,187,
GEM/2025/B/6013872,7595076.0,Unclassified,,0,,Not checked,,Read by OCR,3,294,
GEM/2025/B/6015589,7597201.0,Unclassified,,0,,Not checked,,Read by OCR,2,277,
GEM/2025/B/6015995,7597652.0,Unclassified,,0,,Not checked,,Read by OCR,2,1251,
GEM/2025/B/6016143,7597815.0,Unclassified,,0,,Not checked,,Read by OCR,1,282,
GEM/2025/B/6006930,7587180.0,MED — Mechanical Engineering Department,IS 3615; IS 732; IS 659; IS 660; IS 1554,5,IS 659 (Withdrawn); IS 660 (Withdrawn),Yes,,Read by OCR,9,23841,
GEM/2025/B/6016272,7597969.0,Unclassified,,0,,Not checked,,Read by OCR,2,3287,
GEM/2025/B/6015784,7597415.0,Unclassified,,0,,Not checked,,Read by OCR,4,10743,
GEM/2025/B/6010396,7591041.0,Unclassified,,0,,Not checked,,Read by OCR,10,16327,
GEM/2025/B/6016677,7598436.0,Unclassified,,0,,Not checked,,Read by OCR,4,3295,
GEM/2025/B/6017390,7599275.0,Unclassified,,0,,Not checked,,Read by OCR,1,2142,
GEM/2025/B/6011835,7592702.0,Unclassified,,0,,Not checked,,Read by OCR,7,11681,
GEM/2025/B/6017604,7599532.0,Unclassified,,0,,Not checked,,Read by OCR,1,875,
GEM/2025/B/6017534,7599450.0,Unclassified,,0,,Not checked,,Read by OCR,2,2511,
GEM/2025/B/6020109,7602359.0,Unclassified,,0,,Not checked,,Read by OCR,1,826,
GEM/2025/B/6017691,7599633.0,Unclassified,,0,,Not checked,,Read by OCR,1,2217,
GEM/2025/B/6018174,7600174.0,Unclassified,,0,,Not checked,,Read by OCR,1,798,
GEM/2025/B/6023712,7606380.0,Unclassified,,0,,Not checked,,Read by OCR,2,1522,
