Source IS,Target IS,Tenders Citing Source,Tenders Citing Target,Co-citation Count,Confidence,Lift,Evidence Statement
IS 16102 (Part 2),IS 16106,5,18,3,0.6,4.467,Cited alongside IS 16102 (Part 2) in 3 of 5 comparable tenders
IS 16108,IS 16104,10,8,6,0.6,10.05,Cited alongside IS 16108 in 6 of 10 comparable tenders
IS 4759,IS 5831,5,20,3,0.6,4.02,Cited alongside IS 4759 in 3 of 5 comparable tenders
IS 3961,IS 10418,5,9,3,0.6,8.933,Cited alongside IS 3961 in 3 of 5 comparable tenders
IS 9103,IS 8112,7,7,4,0.571,10.939,Cited alongside IS 9103 in 4 of 7 comparable tenders
IS 1554,IS 7098,14,18,8,0.571,4.254,Cited alongside IS 1554 in 8 of 14 comparable tenders
IS 7098 (Part 1),IS 694,7,48,4,0.571,1.595,Cited alongside IS 7098 (Part 1) in 4 of 7 comparable tenders
IS 383,IS 8112,7,7,4,0.571,10.939,Cited alongside IS 383 in 4 of 7 comparable tenders
IS 1554,IS 8130,14,22,8,0.571,3.481,Cited alongside IS 1554 in 8 of 14 comparable tenders
IS 875,IS 7098,7,18,4,0.571,4.254,Cited alongside IS 875 in 4 of 7 comparable tenders
IS 16107 (Part 2),IS 16108,7,10,4,0.571,7.657,Cited alongside IS 16107 (Part 2) in 4 of 7 comparable tenders
IS 383,IS 1489,7,8,4,0.571,9.571,Cited alongside IS 383 in 4 of 7 comparable tenders
IS 16107 (Part 2),IS 16104,7,8,4,0.571,9.571,Cited alongside IS 16107 (Part 2) in 4 of 7 comparable tenders
IS 8112,IS 516,7,4,4,0.571,19.143,Cited alongside IS 8112 in 4 of 7 comparable tenders
IS 8112,IS 383,7,7,4,0.571,10.939,Cited alongside IS 8112 in 4 of 7 comparable tenders
IS 16107,IS 16103,14,9,8,0.571,8.508,Cited alongside IS 16107 in 8 of 14 comparable tenders
IS 8112,IS 1489,7,8,4,0.571,9.571,Cited alongside IS 8112 in 4 of 7 comparable tenders
IS 16107,IS 16108,14,10,8,0.571,7.657,Cited alongside IS 16107 in 8 of 14 comparable tenders
IS 8112,IS 9103,7,7,4,0.571,10.939,Cited alongside IS 8112 in 4 of 7 comparable tenders
IS 16107,IS 10322 (Part 5),14,17,8,0.571,4.504,Cited alongside IS 16107 in 8 of 14 comparable tenders
IS 1285,IS 15622,7,5,4,0.571,15.314,Cited alongside IS 1285 in 4 of 7 comparable tenders
IS 16105,IS 16107 (Part 2),9,7,5,0.556,10.635,Cited alongside IS 16105 in 5 of 9 comparable tenders
IS 16105,IS 10322 (Part 1),9,11,5,0.556,6.768,Cited alongside IS 16105 in 5 of 9 comparable tenders
IS 16103,IS 10322 (Part 5),9,17,5,0.556,4.379,Cited alongside IS 16103 in 5 of 9 comparable tenders
IS 10418,IS 10810,9,8,5,0.556,9.306,Cited alongside IS 10418 in 5 of 9 comparable tenders
IS 16106,IS 16107,18,14,10,0.556,5.317,Cited alongside IS 16106 in 10 of 18 comparable tenders
IS 16106,IS 16108,18,10,10,0.556,7.444,Cited alongside IS 16106 in 10 of 18 comparable tenders
IS 16106,IS 15885 (Part 2),18,10,10,0.556,7.444,Cited alongside IS 16106 in 10 of 18 comparable tenders
IS 10418,IS 1554,9,14,5,0.556,5.317,Cited alongside IS 10418 in 5 of 9 comparable tenders
