Source IS,Target IS,Tenders Citing Source,Tenders Citing Target,Co-citation Count,Confidence,Lift,Evidence Statement
IS 3043,IS 8130,8,22,3,0.375,2.284,Cited alongside IS 3043 in 3 of 8 comparable tenders
IS 3975,IS 3961,8,5,3,0.375,10.05,Cited alongside IS 3975 in 3 of 8 comparable tenders
IS 13592,IS 5382,8,5,3,0.375,10.05,Cited alongside IS 13592 in 3 of 8 comparable tenders
IS 1489,IS 1285,8,7,3,0.375,7.179,Cited alongside IS 1489 in 3 of 8 comparable tenders
IS 1489,IS 6057,8,3,3,0.375,16.75,Cited alongside IS 1489 in 3 of 8 comparable tenders
IS 456,IS 4985,11,12,4,0.364,4.061,Cited alongside IS 456 in 4 of 11 comparable tenders
IS 10322 (Part 1),IS 16104,11,8,4,0.364,6.091,Cited alongside IS 10322 (Part 1) in 4 of 11 comparable tenders
IS 456,IS 516,11,4,4,0.364,12.182,Cited alongside IS 456 in 4 of 11 comparable tenders
IS 2062,IS 7098,11,18,4,0.364,2.707,Cited alongside IS 2062 in 4 of 11 comparable tenders
IS 8130,IS 1554,22,14,8,0.364,3.481,Cited alongside IS 8130 in 8 of 22 comparable tenders
IS 2062,IS 1554,11,14,4,0.364,3.481,Cited alongside IS 2062 in 4 of 11 comparable tenders
IS 10322 (Part 1),IS 16103,11,9,4,0.364,5.414,Cited alongside IS 10322 (Part 1) in 4 of 11 comparable tenders
IS 2062,IS 4759,11,5,4,0.364,9.745,Cited alongside IS 2062 in 4 of 11 comparable tenders
IS 2062,IS 2629,11,4,4,0.364,12.182,Cited alongside IS 2062 in 4 of 11 comparable tenders
IS 456,IS 8329,11,9,4,0.364,5.414,Cited alongside IS 456 in 4 of 11 comparable tenders
IS 8130,IS 3975,22,8,8,0.364,6.091,Cited alongside IS 8130 in 8 of 22 comparable tenders
IS 8130,IS 10810,22,8,8,0.364,6.091,Cited alongside IS 8130 in 8 of 22 comparable tenders
IS 456,IS 1199,11,4,4,0.364,12.182,Cited alongside IS 456 in 4 of 11 comparable tenders
IS 2062,IS 10322,11,23,4,0.364,2.119,Cited alongside IS 2062 in 4 of 11 comparable tenders
IS 1554,IS 10418,14,9,5,0.357,5.317,Cited alongside IS 1554 in 5 of 14 comparable tenders
IS 1554,IS 3961,14,5,5,0.357,9.571,Cited alongside IS 1554 in 5 of 14 comparable tenders
IS 16107,IS 16107 (Part 2),14,7,5,0.357,6.837,Cited alongside IS 16107 in 5 of 14 comparable tenders
IS 1554,IS 3975,14,8,5,0.357,5.982,Cited alongside IS 1554 in 5 of 14 comparable tenders
IS 16107,IS 16104,14,8,5,0.357,5.982,Cited alongside IS 16107 in 5 of 14 comparable tenders
IS 16107,IS 16101,14,6,5,0.357,7.976,Cited alongside IS 16107 in 5 of 14 comparable tenders
IS 10322 (Part 5),IS 16107 (Part 2),17,7,6,0.353,6.756,Cited alongside IS 10322 (Part 5) in 6 of 17 comparable tenders
IS 10322 (Part 5),IS 10322 (Part 1),17,11,6,0.353,4.299,Cited alongside IS 10322 (Part 5) in 6 of 17 comparable tenders
IS 10322 (Part 5),IS 15885 (Part 2),17,10,6,0.353,4.729,Cited alongside IS 10322 (Part 5) in 6 of 17 comparable tenders
IS 5831,IS 1554,20,14,7,0.35,3.35,Cited alongside IS 5831 in 7 of 20 comparable tenders
IS 10322,IS 16105,23,9,8,0.348,5.179,Cited alongside IS 10322 in 8 of 23 comparable tenders
IS 10322,IS 16108,23,10,8,0.348,4.661,Cited alongside IS 10322 in 8 of 23 comparable tenders
IS 10418,IS 2062,9,11,3,0.333,4.061,Cited alongside IS 10418 in 3 of 9 comparable tenders
IS 10418,IS 10322,9,23,3,0.333,1.942,Cited alongside IS 10418 in 3 of 9 comparable tenders
IS 8329,IS 1239,9,6,3,0.333,7.444,Cited alongside IS 8329 in 3 of 9 comparable tenders
IS 10418,IS 4905,9,4,3,0.333,11.167,Cited alongside IS 10418 in 3 of 9 comparable tenders
IS 4985,IS 1536,12,5,4,0.333,8.933,Cited alongside IS 4985 in 4 of 12 comparable tenders
IS 10418,IS 1255,9,4,3,0.333,11.167,Cited alongside IS 10418 in 3 of 9 comparable tenders
IS 8329,IS 9523,9,4,3,0.333,11.167,Cited alongside IS 8329 in 3 of 9 comparable tenders
IS 16106,IS 16107 (Part 2),18,7,6,0.333,6.381,Cited alongside IS 16106 in 6 of 18 comparable tenders
IS 16103,IS 16101,9,6,3,0.333,7.444,Cited alongside IS 16103 in 3 of 9 comparable tenders
IS 16103,IS 16102,9,13,3,0.333,3.436,Cited alongside IS 16103 in 3 of 9 comparable tenders
IS 16103,IS 16104,9,8,3,0.333,5.583,Cited alongside IS 16103 in 3 of 9 comparable tenders
IS 4985,IS 8329,12,9,4,0.333,4.963,Cited alongside IS 4985 in 4 of 12 comparable tenders
IS 4985,IS 456,12,11,4,0.333,4.061,Cited alongside IS 4985 in 4 of 12 comparable tenders
IS 4985,IS 1239,12,6,4,0.333,7.444,Cited alongside IS 4985 in 4 of 12 comparable tenders
IS 10418,IS 3961,9,5,3,0.333,8.933,Cited alongside IS 10418 in 3 of 9 comparable tenders
IS 694,IS 8130,48,22,16,0.333,2.03,Cited alongside IS 694 in 16 of 48 comparable tenders
IS 16103,IS 16107 (Part 2),9,7,3,0.333,6.381,Cited alongside IS 16103 in 3 of 9 comparable tenders
IS 16102,IS 16107,13,14,4,0.308,2.945,Cited alongside IS 16102 in 4 of 13 comparable tenders
IS 10322,IS 15885 (Part 2),23,10,7,0.304,4.078,Cited alongside IS 10322 in 7 of 23 comparable tenders
IS 10322,IS 16103,23,9,7,0.304,4.531,Cited alongside IS 10322 in 7 of 23 comparable tenders
IS 16108,IS 16102 (Part 1),10,4,3,0.3,10.05,Cited alongside IS 16108 in 3 of 10 comparable tenders
IS 15885 (Part 2),IS 16102 (Part 1),10,4,3,0.3,10.05,Cited alongside IS 15885 (Part 2) in 3 of 10 comparable tenders
IS 9968,IS 5831,10,20,3,0.3,2.01,Cited alongside IS 9968 in 3 of 10 comparable tenders
IS 9968,IS 11329,10,3,3,0.3,13.4,Cited alongside IS 9968 in 3 of 10 comparable tenders
IS 9968,IS 10617,10,3,3,0.3,13.4,Cited alongside IS 9968 in 3 of 10 comparable tenders
IS 9968,IS 10810,10,8,3,0.3,5.025,Cited alongside IS 9968 in 3 of 10 comparable tenders
IS 9968,IS 2993,10,3,3,0.3,13.4,Cited alongside IS 9968 in 3 of 10 comparable tenders
IS 9968,IS 12615,10,3,3,0.3,13.4,Cited alongside IS 9968 in 3 of 10 comparable tenders
IS 9968,IS 1391 (Part II),10,3,3,0.3,13.4,Cited alongside IS 9968 in 3 of 10 comparable tenders
IS 16108,IS 15885,10,6,3,0.3,6.7,Cited alongside IS 16108 in 3 of 10 comparable tenders
IS 16108,IS 16101,10,6,3,0.3,6.7,Cited alongside IS 16108 in 3 of 10 comparable tenders
IS 16108,IS 16102,10,13,3,0.3,3.092,Cited alongside IS 16108 in 3 of 10 comparable tenders
IS 10322 (Part 5),IS 16105,17,9,5,0.294,4.379,Cited alongside IS 10322 (Part 5) in 5 of 17 comparable tenders
IS 10322 (Part 5),IS 16103,17,9,5,0.294,4.379,Cited alongside IS 10322 (Part 5) in 5 of 17 comparable tenders
IS 10322 (Part 5),IS 16102,17,13,5,0.294,3.032,Cited alongside IS 10322 (Part 5) in 5 of 17 comparable tenders
IS 10322 (Part 5),IS 16104,17,8,5,0.294,4.926,Cited alongside IS 10322 (Part 5) in 5 of 17 comparable tenders
IS 10322 (Part 5),IS 16108,17,10,5,0.294,3.941,Cited alongside IS 10322 (Part 5) in 5 of 17 comparable tenders
IS 694,IS 5831,48,20,14,0.292,1.954,Cited alongside IS 694 in 14 of 48 comparable tenders
IS 1554,IS 6380,14,4,4,0.286,9.571,Cited alongside IS 1554 in 4 of 14 comparable tenders
IS 1554,IS 10810,14,8,4,0.286,4.786,Cited alongside IS 1554 in 4 of 14 comparable tenders
IS 1554,IS 9968,14,10,4,0.286,3.829,Cited alongside IS 1554 in 4 of 14 comparable tenders
IS 1554,IS 2062,14,11,4,0.286,3.481,Cited alongside IS 1554 in 4 of 14 comparable tenders
IS 16107,IS 16102,14,13,4,0.286,2.945,Cited alongside IS 16107 in 4 of 14 comparable tenders
IS 7098,IS 9968,18,10,5,0.278,3.722,Cited alongside IS 7098 in 5 of 18 comparable tenders
IS 7098,IS 10810,18,8,5,0.278,4.653,Cited alongside IS 7098 in 5 of 18 comparable tenders
IS 16106,IS 16102,18,13,5,0.278,2.863,Cited alongside IS 16106 in 5 of 18 comparable tenders
IS 456,IS 1868,11,6,3,0.273,6.091,Cited alongside IS 456 in 3 of 11 comparable tenders
IS 456,IS 612,11,3,3,0.273,12.182,Cited alongside IS 456 in 3 of 11 comparable tenders
IS 456,IS 1285,11,7,3,0.273,5.221,Cited alongside IS 456 in 3 of 11 comparable tenders
IS 456,IS 6057,11,3,3,0.273,12.182,Cited alongside IS 456 in 3 of 11 comparable tenders
IS 456,IS 4925,11,3,3,0.273,12.182,Cited alongside IS 456 in 3 of 11 comparable tenders
IS 456,IS 7088,11,3,3,0.273,12.182,Cited alongside IS 456 in 3 of 11 comparable tenders
IS 2062,IS 14930,11,5,3,0.273,7.309,Cited alongside IS 2062 in 3 of 11 comparable tenders
IS 2062,IS 10418,11,9,3,0.273,4.061,Cited alongside IS 2062 in 3 of 11 comparable tenders
IS 456,IS 733,11,6,3,0.273,6.091,Cited alongside IS 456 in 3 of 11 comparable tenders
IS 456,IS 875,11,7,3,0.273,5.221,Cited alongside IS 456 in 3 of 11 comparable tenders
IS 456,IS 1038,11,3,3,0.273,12.182,Cited alongside IS 456 in 3 of 11 comparable tenders
IS 456,IS 2190,11,3,3,0.273,12.182,Cited alongside IS 456 in 3 of 11 comparable tenders
IS 456,IS 1786,11,4,3,0.273,9.136,Cited alongside IS 456 in 3 of 11 comparable tenders
IS 2062,IS 5831,11,20,3,0.273,1.827,Cited alongside IS 2062 in 3 of 11 comparable tenders
IS 456,IS 2386,11,3,3,0.273,12.182,Cited alongside IS 456 in 3 of 11 comparable tenders
IS 456,IS 3370,11,3,3,0.273,12.182,Cited alongside IS 456 in 3 of 11 comparable tenders
IS 10322,IS 16107 (Part 2),23,7,6,0.261,4.994,Cited alongside IS 10322 in 6 of 23 comparable tenders
IS 10322,IS 16104,23,8,6,0.261,4.37,Cited alongside IS 10322 in 6 of 23 comparable tenders
IS 4985,IS 9523,12,4,3,0.25,8.375,Cited alongside IS 4985 in 3 of 12 comparable tenders
IS 4985,IS 3043,12,8,3,0.25,4.188,Cited alongside IS 4985 in 3 of 12 comparable tenders
IS 4985,IS 3370,12,3,3,0.25,11.167,Cited alongside IS 4985 in 3 of 12 comparable tenders
IS 4985,IS 3589,12,4,3,0.25,8.375,Cited alongside IS 4985 in 3 of 12 comparable tenders
