Tender ID,Product Family,IS Numbers Cited,Foreign Standards Cited,Count,Outdated Citations,Any Outdated,Document Type,Usability,Source Link,Unmatched Citations
2B--RDSSInfra-SBDPart-2TS01122021.pdf,Electrical cables and wiring,IS 100; IS 101; IS 104; IS 158; IS 209; IS 228; IS 249; IS 266; IS 280; IS 325; IS 335; IS 375; IS 398; IS 398 (Part 2); IS 398 (Part II); IS 398 (Part IV); IS 458; IS 554; IS 613; IS 617; IS 649; IS 652; IS 694; IS 731; IS 808; IS 823; IS 996; IS 1069; IS 1146; IS 1180; IS 1180 (Part 1); IS 1239; IS 1248; IS 1255; IS 1271; IS 1363; IS 1364; IS 1367; IS 1521; IS 1554; IS 1573; IS 1576; IS 1637; IS 1651; IS 1747; IS 1755; IS 1778; IS 1841; IS 1852; IS 1866; IS 1893; IS 1894; IS 1901; IS 1997; IS 2004; IS 2016; IS 2026; IS 2026 (Part I); IS 2062; IS 2071; IS 2074; IS 2086; IS 2099; IS 2121; IS 2141; IS 2147; IS 2165; IS 2328; IS 2329; IS 2362; IS 2486; IS 2486 (Part I); IS 2486 (Part II); IS 2516; IS 2544; IS 2551; IS 2629; IS 2633; IS 2705; IS 2713; IS 2834; IS 3024; IS 3043; IS 3063; IS 3070; IS 3070 (Part 3); IS 3072; IS 3156; IS 3188; IS 3202; IS 3203; IS 3231; IS 3347; IS 3401; IS 3427; IS 3618; IS 3637; IS 3639; IS 3842; IS 3895; IS 3961; IS 3975; IS 4064; IS 4218; IS 4237; IS 4253; IS 4257; IS 4540; IS 4699; IS 4736; IS 4759; IS 4794; IS 4826; IS 5039; IS 5082; IS 5284; IS 5300; IS 5484; IS 5561; IS 5578; IS 5621; IS 5831; IS 5921; IS 6005; IS 6071; IS 6103; IS 6160; IS 6162; IS 6209; IS 6262; IS 6594; IS 6600; IS 6619; IS 6639; IS 6745; IS 6792; IS 6875; IS 7098; IS 7098 (Part 1); IS 7098 (Part 2); IS 7098 (Part II); IS 7421; IS 7887; IS 8130; IS 8263; IS 8309; IS 8623; IS 8662; IS 8686; IS 8709; IS 9000; IS 9130; IS 9135; IS 9335; IS 9385; IS 9385 (Part I); IS 9402; IS 9511; IS 9920; IS 9921; IS 9954; IS 9997; IS 10027; IS 10028; IS 10418; IS 10462; IS 10462 (Part 1); IS 10810; IS 10918; IS 12048; IS 12063; IS 12444; IS 12672; IS 12729; IS 13118; IS 13134; IS 13410; IS 13411; IS 13497; IS 13703; IS 13703 (Part I); IS 13871; IS 13925; IS 13947; IS 13947 (Part I); IS 13947 (Part III); IS 14255; IS 14697; IS 16102; IS 16102 (Part 1); IS 16102 (Part 2),,191,,Not checked,Text PDF,Multi-scope,https://recindia.nic.in/uploads/files/2B--RDSSInfra-SBDPart-2TS01122021.pdf,
1528360574full turnkey contract for cons,Electrical cables and wiring,IS 100; IS 101; IS 104; IS 158; IS 209; IS 228; IS 249; IS 266; IS 269; IS 277; IS 278; IS 280; IS 300; IS 325; IS 335; IS 375; IS 383; IS 398; IS 398 (Part 2); IS 398 (Part II); IS 398 (Part IV); IS 432; IS 455; IS 456; IS 458; IS 554; IS 613; IS 617; IS 649; IS 652; IS 694; IS 731; IS 783; IS 802; IS 808; IS 823; IS 875; IS 996; IS 1069; IS 1146; IS 1161; IS 1179; IS 1180; IS 1180 (Part 1); IS 1239; IS 1248; IS 1255; IS 1271; IS 1340; IS 1363; IS 1364; IS 1367; IS 1489; IS 1521; IS 1554; IS 1573; IS 1576; IS 1637; IS 1651; IS 1729; IS 1747; IS 1755; IS 1778; IS 1786; IS 1841; IS 1852; IS 1866; IS 1875; IS 1892; IS 1893; IS 1894; IS 1901; IS 1904; IS 1911; IS 1997; IS 2004; IS 2016; IS 2026; IS 2026 (Part I); IS 2062; IS 2071; IS 2074; IS 2086; IS 2099; IS 2121; IS 2141; IS 2147; IS 2165; IS 2171; IS 2328; IS 2329; IS 2362; IS 2386; IS 2486; IS 2486 (Part I); IS 2486 (Part II); IS 2488; IS 2502; IS 2509; IS 2516; IS 2544; IS 2546; IS 2551; IS 2553; IS 2629; IS 2633; IS 2645; IS 2705; IS 2713; IS 2721; IS 2762; IS 2834; IS 2835; IS 2878; IS 2925; IS 2974; IS 3024; IS 3035; IS 3043; IS 3063; IS 3070; IS 3070 (Part 3); IS 3072; IS 3156; IS 3188; IS 3202; IS 3203; IS 3231; IS 3347; IS 3370; IS 3370 (Part I); IS 3401; IS 3427; IS 3502; IS 3521; IS 3618; IS 3637; IS 3639; IS 3842; IS 3895; IS 3961; IS 3975; IS 4064; IS 4091; IS 4218; IS 4237; IS 4253; IS 4257; IS 4540; IS 4697; IS 4699; IS 4736; IS 4759; IS 4770; IS 4794; IS 4800; IS 4826; IS 5039; IS 5082; IS 5284; IS 5300; IS 5484; IS 5553; IS 5561; IS 5578; IS 5621; IS 5831; IS 5921; IS 6005; IS 6071; IS 6103; IS 6160; IS 6162; IS 6209; IS 6262; IS 6313; IS 6594; IS 6600; IS 6619; IS 6639; IS 6745; IS 6792; IS 6875; IS 7098; IS 7098 (Part 1); IS 7098 (Part 2); IS 7098 (Part II); IS 7421; IS 7887; IS 8130; IS 8263; IS 8309; IS 8623; IS 8662; IS 8686; IS 8709; IS 9000; IS 9103; IS 9130; IS 9135; IS 9335; IS 9385; IS 9385 (Part I); IS 9402; IS 9511; IS 9920; IS 9921; IS 9954; IS 9997; IS 10027; IS 10028; IS 10418; IS 10462; IS 10462 (Part 1); IS 10601; IS 10810; IS 10918; IS 11000 (Part 2); IS 11731; IS 12048; IS 12063; IS 12444; IS 12672; IS 12729; IS 13118; IS 13134; IS 13410; IS 13411; IS 13497; IS 13703; IS 13703 (Part I); IS 13779; IS 13871; IS 13925; IS 13947; IS 13947 (Part I); IS 13947 (Part II); IS 13947 (Part III); IS 14255; IS 14697; IS 14772; IS 15707; IS 15959; IS 16102; IS 16102 (Part 1); IS 16102 (Part 2),,246,,Not checked,Text PDF,Multi-scope,https://recindia.nic.in/uploads/corrigendum/1528360574full%20turnkey%20contract%20for%20construction%20of%2011kv%20line%20installation%20augmentation%20of%20distribution%20transformers%20along%20with%20other%20associated%20works%20in%20leh%20and%20kargil%20towns%20on%20turnkey%20basis%20under%20rapdrp%20partb.pdf,
ENQ 074 DOCUMENTS PART 2.pdf,Unclassified,,,0,,Not checked,Scanned PDF,Not extractable,https://bhel.com/sites/default/files/ENQ%20074%20DOCUMENTS%20PART%202.pdf,
Tender (21).pdf,Electrical cables and wiring,IS 350; IS 694; IS 1554; IS 2062; IS 3975; IS 5831; IS 7098; IS 8130; IS 9595; IS 10178; IS 10322; IS 10418; IS 14930,,13,,Not checked,Text PDF,Usable,https://newmangaloreport.gov.in/sites/default/files/2026-09/Tender%20%2821%29.pdf,IS 350; IS 2062; IS 3975; IS 9595; IS 10178
GetTenderAttachment,Unclassified,IS 280,,1,,Not checked,Text PDF,Usable,https://celindia.co.in/Image/GetTenderAttachment?tenderAttachmentID=24573,IS 280
scope_f_2024-01-18-16-06-49_1abb86402620,Electrical cables and wiring,IS 692; IS 694; IS 1554; IS 5831; IS 6380; IS 7098; IS 8130; IS 9968; IS 10810,,9,,No,Text PDF,Usable,https://mkp.gem.gov.in/catalog_data/catalog_support_document/buyer_documents/1862064/54/78/703/CatalogAttrs/SpecificationDocument/2024/1/18/scope_f_2024-01-18-16-06-49_1abb86402620599616d25e592c8b7224.pdf,
1654861443_CORR.PDF,Unclassified,,,0,,Not checked,Scanned PDF,Not extractable,https://vpt.shipping.gov.in/admin_assets/uploads/1654861443_CORR.PDF,
detail tender notice for Electrical N Ba,Electrical cables and wiring,IS 694; IS 875; IS 7098; IS 9537; IS 12640; IS 60898; IS 60947,,7,,Not checked,Text PDF,Usable,https://gmda.assam.gov.in/sites/default/files/swf_utility_folder/departments/gmda_webcomindia_org_oid_4/menu/right_menu/right_menu/detail%20tender%20notice%20for%20Electrical%20N%20Bank%20Ropeway.pdf,IS 875; IS 12640; IS 60898; IS 60947
docHi2018115163834.pdf,Pipes (PVC and GI),IS 100; IS 210; IS 269; IS 383; IS 427; IS 428; IS 432; IS 452; IS 456; IS 458; IS 516; IS 554; IS 651; IS 694; IS 733; IS 774; IS 775; IS 778; IS 780; IS 781; IS 782; IS 783; IS 1077; IS 1139; IS 1199; IS 1200; IS 1239; IS 1285; IS 1542; IS 1566; IS 1570; IS 1661; IS 1703; IS 1726; IS 1786; IS 1791; IS 1868; IS 1879; IS 1879 (Part 1); IS 1932; IS 1979; IS 2095; IS 2326; IS 2379; IS 2386; IS 2386 (Part III); IS 2402; IS 2502; IS 2505; IS 2509; IS 2548; IS 2556; IS 2645; IS 2667; IS 2692; IS 2722; IS 2800 (Part I); IS 3025; IS 3043; IS 3370; IS 3419; IS 3564; IS 3646; IS 3989; IS 4031; IS 4097; IS 4691; IS 4736; IS 4984; IS 4985; IS 5382; IS 5410; IS 5411; IS 6946; IS 7231; IS 8112; IS 8931; IS 9013; IS 10262; IS 10910; IS 11149; IS 11189; IS 12269; IS 12818; IS 12823; IS 13095; IS 13311 (Part 2); IS 13311 (Part I); IS 13592; IS 13952; IS 14333; IS 14697; IS 15622,,93,,Not checked,Text PDF,Multi-scope,https://agriportal.cg.nic.in/MANDI/%E0%A4%A8%E0%A4%BF%E0%A4%B5%E0%A4%BF%E0%A4%A6%E0%A4%BETender/201811/docHi2018115163834.pdf,
2b-technical-spec-2_nabinagar-1434103220,Electrical cables and wiring,IS 280; IS 374; IS 458; IS 513; IS 694; IS 2062; IS 2418; IS 2629; IS 2713; IS 8130; IS 8309; IS 9537; IS 9800; IS 9974; IS 10322; IS 10418,,16,,Not checked,Text PDF,Usable,https://www.bhel.com/sites/default/files/2b-technical-spec-2_nabinagar-1434103220.pdf,IS 280; IS 374; IS 458; IS 513; IS 2062; IS 2629; IS 2713; IS 9800
