Tender ID,Product Family,IS Numbers Cited,Foreign Standards Cited,Count,Outdated Citations,Any Outdated,Document Type,Usability,Source Link,Unmatched Citations
Vol-II.pdf,Electrical cables and wiring,IS 277; IS 375; IS 655; IS 692; IS 694; IS 722; IS 732; IS 737; IS 1000; IS 1246; IS 1248; IS 1255; IS 1293; IS 1554; IS 1554 (Part I); IS 1646; IS 1885; IS 2147; IS 2208; IS 2312; IS 2448; IS 2516 (Part I); IS 2675; IS 2705; IS 2705 (Part I); IS 2834; IS 3043; IS 3072; IS 3072 (Part I); IS 3156; IS 3837; IS 3843; IS 3961; IS 4047; IS 4064; IS 4237; IS 4710; IS 5082; IS 5133 (Part I); IS 6005; IS 6875; IS 8623; IS 8828; IS 9537; IS 13947,,45,,Not checked,Text PDF,Multi-scope,https://www.birac.nic.in/webcontent/Vol-II.pdf,
1713258165_GeM-Bidding-6308192.pdf,Electrical cables and wiring,IS 694; IS 1391 (Part 2),,2,,Not checked,Text PDF,Usable,https://sportsauthorityofindia.nic.in/sai_new/public/assets/uploads/tenders/1713258165_GeM-Bidding-6308192.pdf,IS 1391 (Part 2)
TENDER_DOC-2025-07-25-09:22:57.pdf,Electrical cables and wiring,IS 694; IS 1554; IS 5026; IS 5831; IS 8130; IS 10810; IS 10810 (Part 20),,7,,Not checked,Text PDF,Usable,https://tenders.bhel.com/sites/default/files/TENDER_DOC-2025-07-25-09%3A22%3A57.pdf,IS 5026
pqr-pvc-wires-1559025882.pdf,Unclassified,,,0,,Not checked,Scanned PDF,Not extractable,https://www.bhel.com/sites/default/files/pqr-pvc-wires-1559025882.pdf,
1763637938.pdf,LED lighting,IS 10322; IS 10322 (Part 5); IS 12063; IS 16101; IS 16102; IS 16103; IS 16104; IS 16106; IS 16107; IS 16108,,10,,Not checked,Text PDF,Usable,https://bidplus.gem.gov.in/bidding/bid/documentdownload/8614475/1763637938.pdf,IS 12063
open_tender_enquiry_2025-09-13-20-14-33.,LED lighting,IS 10322 (Part 5); IS 16102,,2,,No,Text PDF,Usable,https://ucil.gov.in/public/uploads/open_tender_enquiry/open_tender_enquiry_2025-09-13-20-14-33.pdf,
Notice Inviting Tender - Jaipur_p.pdf,Electrical cables and wiring,IS 101; IS 116; IS 159; IS 226; IS 375; IS 401; IS 513; IS 516; IS 655; IS 694; IS 710; IS 722; IS 732; IS 813; IS 816; IS 1087; IS 1199; IS 1248; IS 1293; IS 1328; IS 1554; IS 1554 (Part I); IS 1567; IS 1651; IS 1653; IS 1771; IS 1818; IS 1822; IS 2046; IS 2095; IS 2147; IS 2148; IS 2176; IS 2189; IS 2251; IS 2268; IS 2274; IS 2309; IS 2418; IS 2419; IS 2509; IS 2516; IS 2607; IS 2667; IS 2675; IS 2705; IS 2878; IS 2959; IS 3043; IS 3072; IS 3106; IS 3156; IS 3202; IS 3231; IS 3427; IS 3700; IS 3837; IS 3854; IS 3961; IS 3975; IS 4047; IS 4237; IS 4615; IS 4736; IS 4905; IS 4925; IS 5133; IS 5216; IS 5571; IS 5578; IS 5820; IS 5831; IS 5892; IS 5908; IS 6381; IS 6553; IS 6875; IS 6925; IS 6946; IS 7098; IS 7098 (Part I); IS 8130; IS 8623; IS 9000 (Part 6); IS 9103; IS 10418; IS 11360; IS 12063; IS 12640; IS 13947; IS 14700; IS 15652; IS 15885; IS 16004; IS 16102,,95,,Not checked,Text PDF,Multi-scope,https://www.sebi.gov.in/sebi_data/commondocs/aug-2026/Notice%20Inviting%20Tender%20-%20Jaipur_p.pdf,
LaturQuatation.pdf,LED lighting,IS 1161; IS 1944; IS 4736; IS 10322 (Part 5); IS 14286; IS 16046; IS 16077; IS 16101; IS 16102; IS 16103; IS 16106; IS 16107; IS 16221; IS 16221 (Part 1); IS 16221 (Part 2); IS 16270; IS 61730 (Part 1); IS 61730 (Part 2),,18,,Not checked,Text PDF,Usable,https://www.mahaurja.maharashtra.gov.in/Site/Upload/pdf/LaturQuatation.pdf,IS 1161; IS 4736; IS 14286; IS 16046; IS 16077; IS 16221; IS 16221 (Part 1); IS 16221 (Part 2); IS 16270; IS 61730 (Part 1); IS 61730 (Part 2)
item_specs_2026-03-16-10-45-41_57005106e,LED lighting,IS 16102,,1,,No,Text PDF,Usable,https://mkp.gem.gov.in/catalog_data/catalog_support_document/buyer_documents/2990218/54/78/703/CatalogAttrs/SpecificationDocument/2026/3/16/item_specs_2026-03-16-10-45-41_57005106eb836665d5951f8e2c2d69f7.pdf,
96cc81efc17b90d3d438e42d937b7112.pdf,LED lighting,IS 16102,,1,,No,Text PDF,Usable,https://roap.esic.gov.in/attachments/tenderfile/96cc81efc17b90d3d438e42d937b7112.pdf,
1747047020.pdf,Electrical cables and wiring,IS 9968; IS 10322; IS 10322 (Part 1),,3,,No,Text PDF,Usable,https://bidplus.gem.gov.in/bidding/bid/documentdownload/7831683/1747047020.pdf,
1756872380_supplyandinstallationoffalsec,LED lighting,IS 10322; IS 10322 (Part 5),,2,,No,Text PDF,Usable,https://www.icmr.gov.in/icmrobject/uploads/Tender/1756872380_supplyandinstallationoffalseceilingsandledpanelingymfacility.pdf,
GeM-Bidding-3958710 (1).pdf,LED lighting,IS 10322; IS 10322 (Part 1); IS 16107; IS 16107 (Part 2),,4,,No,Text PDF,Usable,https://newmangaloreport.gov.in/sites/default/files/2022-11/GeM-Bidding-3958710%20%281%29.pdf,
1756973264.pdf,LED lighting,IS 10322 (Part 5); IS 15885 (Part 2); IS 16106,,3,,No,Text PDF,Usable,https://bidplus.gem.gov.in/bidding/bid/documentdownload/8308199/1756973264.pdf,
posts-90-bid-document-vol-i.pdf,LED lighting,IS 1367; IS 1944; IS 2016; IS 3063; IS 4759; IS 5831; IS 10322; IS 10322 (Part 1); IS 10322 (Part 5); IS 15885 (Part 2); IS 16103; IS 16104; IS 16105; IS 16106; IS 16107; IS 16107 (Part 2); IS 16108,,17,,Not checked,Text PDF,Usable,https://aizawlsmartcity.mizoram.gov.in/uploads/attachments/931c8bf87c74224e9bd83dc2d98643c5/posts-90-bid-document-vol-i.pdf,IS 1367; IS 2016; IS 3063; IS 4759
2026_01_07_14_07_57_1650wledspeccoalind_,LED lighting,IS 10322; IS 10322 (Part 5); IS 15885 (Part 2); IS 16105; IS 16106; IS 16107 (Part 2),,6,,No,Text PDF,Usable,https://mkp.gem.gov.in/catalog_data/catalog_support_document/55/77/082/CatalogAttrs/SpecificationDocument/2026/1/7/2026_01_07_14_07_57_1650wledspeccoalind_2026-01-07-14-07-59_571449720676c6bd30a80c4c0c205c67.pdf,
technicalspecification_2023-11-30-09-46-,LED lighting,IS 875 (Part 3); IS 10322; IS 10322 (Part 1); IS 10322 (Part 5); IS 15885 (Part 2); IS 16102; IS 16102 (Part 1); IS 16103; IS 16104; IS 16105; IS 16106; IS 16107; IS 16107 (Part 2); IS 16108,,14,,Not checked,Text PDF,Usable,https://mkp.gem.gov.in/uploaded_documents/51/16/877/OrderItem/BoqDocument/2023/11/30/technicalspecification_2023-11-30-09-46-42_bed78d5c1faec4ee563b35def7ab9ebd.pdf,IS 875 (Part 3)
1692427289.pdf,LED lighting,IS 10322; IS 10322 (Part 1); IS 10322 (Part 5); IS 15885 (Part 2); IS 16103 (Part 2); IS 16104; IS 16105; IS 16106; IS 16107; IS 16107 (Part 2); IS 16108,,11,,No,Text PDF,Usable,https://bidplus.gem.gov.in/bidding/bid/documentdownload/5201418/1692427289.pdf,
specification_and_pqc-90_w_led_street_li,LED lighting,IS 10322; IS 10322 (Part 1); IS 16103; IS 16106; IS 16107; IS 16108,,6,,No,Text PDF,Usable,https://mkp.gem.gov.in/catalog_data/catalog_support_document/buyer_documents/1192393/54/78/703/CatalogAttrs/SpecificationDocument/2024/3/26/specification_and_pqc-90_w_led_street_light_2024-03-26-14-59-15_78f6c4b666ab8bf4c2808b4ba113ffd6.pdf,
TD.pdf,LED lighting,IS 10322; IS 15885,,2,,No,Text PDF,Usable,https://www.cochinport.gov.in/sites/default/files/2021-03/TD.pdf,
Expression of Interest of LED 02-07-2026,Unclassified,,,0,,Not checked,Scanned PDF,Not extractable,http://www.municipaladmn.gov.in/sites/municipaladmn.gov.in/files/Expression%20of%20Interest%20of%20LED%2002-07-2026.pdf,
LED.pdf,Electrical cables and wiring,IS 1800; IS 7098; IS 14930,,3,,Not checked,Text PDF,Usable,https://www.iitrpr.ac.in/api/tender-file/181/LED.pdf,IS 1800
tender_et46_iwd_2215_gym.pdf,Electrical cables and wiring,IS 456; IS 460; IS 612; IS 733; IS 875; IS 1285; IS 1489; IS 1786; IS 1800; IS 1856; IS 1868; IS 4925; IS 6057; IS 6477; IS 7088; IS 7098 (Part 1); IS 9103,,17,,Not checked,Text PDF,Usable,https://iitbhu.ac.in/contents/institute/2025/tender/tender_et46_iwd_2215_gym.pdf,IS 456; IS 460; IS 612; IS 733; IS 875; IS 1285; IS 1489; IS 1786; IS 1800; IS 1856; IS 1868; IS 4925; IS 6057; IS 6477; IS 7088; IS 9103
Tender_11e9b05402baf4a4a8b8020000057988.,LED lighting,IS 100; IS 1161; IS 4736; IS 10322 (Part 5),,4,,Not checked,Text PDF,Usable,https://www.creda.co.in/Image/Tender_11e9b05402baf4a4a8b8020000057988.pdf,IS 100; IS 1161; IS 4736
042_Tender Document.pdf,LED lighting,IS 16101,,1,,No,Text PDF,Usable,https://iitpkd.ac.in/sites/default/files/2025-05/042_Tender%20Document.pdf,
ETH_8000088787_150525.pdf,Unclassified,IS 150; IS 226; IS 875; IS 2062; IS 2629; IS 2633; IS 4759,,7,,Not checked,Text PDF,Usable,https://r3app.mcgm.gov.in/irj/go/km/docs/documents/Tenders/ETH/ETH_8000088787_150525.pdf,IS 150; IS 226; IS 875; IS 2062; IS 2629; IS 2633; IS 4759
Document  Bid merged.pdf,LED lighting,IS 10322; IS 10322 (Part 5); IS 16102; IS 16107,,4,,No,Text PDF,Usable,https://chennaiport.gov.in/api/static/default/tendor/Document%20%20Bid%20merged.pdf,
TechSpeciSolar.pdf,LED lighting,IS 694; IS 822; IS 875; IS 1079; IS 1161; IS 1944; IS 2629; IS 2633; IS 3043; IS 4736; IS 4759; IS 5120; IS 5624; IS 6403; IS 6745; IS 7215; IS 9283; IS 9968 (Part 1); IS 10322 (Part 5); IS 11346; IS 12762; IS 12933; IS 14286; IS 14536; IS 16077; IS 16101; IS 16102; IS 16103; IS 16106; IS 16107; IS 16169; IS 16221; IS 16270; IS 16368; IS 16542; IS 16543; IS 16544; IS 16648; IS 16648 (Part 1); IS 16648 (Part 2); IS 16648 (Part 4); IS 17210 (Part 1); IS 60034; IS 60947; IS 61683; IS 61701; IS 61730; IS 61730 (Part I),,48,,Not checked,Text PDF,Multi-scope,https://www.mahaurja.maharashtra.gov.in/Site/Upload/pdf/TechSpeciSolar.pdf,
202604151894174867.pdf,Electrical cables and wiring,IS 694; IS 808; IS 829; IS 1848 (Part 2); IS 1883; IS 1891 (Part 5); IS 2762; IS 2932; IS 3075; IS 3854; IS 4985; IS 5445; IS 5650; IS 7098 (Part 1); IS 9900; IS 9968 (Part 1); IS 9974; IS 10086; IS 10322 (Part 5); IS 10346; IS 11037; IS 12823; IS 13098; IS 14221; IS 14352; IS 14948; IS 15298 (Part 2); IS 15627; IS 15683; IS 15882; IS 16102 (Part 2); IS 16220 (Part 1); IS 16240; IS 17861,,34,,Not checked,Text PDF,Usable,https://cdnbbsr.s3waas.gov.in/s36ee69d3769e832ec77c9584e0b7ba112/uploads/2026/04/202604151894174867.pdf,IS 808; IS 829; IS 1848 (Part 2); IS 1883; IS 1891 (Part 5); IS 2762; IS 2932; IS 3075; IS 5445; IS 5650; IS 10086; IS 10346; IS 11037; IS 12823; IS 13098; IS 14221; IS 14352; IS 14948; IS 15298 (Part 2); IS 15627; IS 15683; IS 16220 (Part 1); IS 16240; IS 17861
techspec_gem_2024-09-11-10-49-43_9150130,LED lighting,IS 240; IS 513; IS 694; IS 1161; IS 1248; IS 1293; IS 1554; IS 1777; IS 1897; IS 1913; IS 2148; IS 2629; IS 2633; IS 2678; IS 2713; IS 3043; IS 3287; IS 3400; IS 3528; IS 3854; IS 4012; IS 4013; IS 4759; IS 4905; IS 5077; IS 5082; IS 8309; IS 8623; IS 8828; IS 9000 (Part 6); IS 9537; IS 9968; IS 12640; IS 13947 (Part I); IS 16101; IS 16102 (Part 1); IS 16102 (Part 2); IS 16103 (Part 1); IS 16103 (Part 2); IS 16104; IS 16105; IS 16106; IS 16107; IS 16108; IS 60079; IS 60529; IS 60898; IS 60947,,48,,Not checked,Text PDF,Multi-scope,https://mkp.gem.gov.in/catalog_data/catalog_support_document/buyer_documents/4031069/54/78/703/CatalogAttrs/SpecificationDocument/2024/9/11/techspec_gem_2024-09-11-10-49-43_91501305c6b234fe345f49d02910b6d5.pdf,
final-tender-doc_2022-07-25-15-42-06_9b0,LED lighting,IS 10322; IS 11171; IS 15885 (Part 2); IS 16103; IS 16105; IS 16106; IS 16107; IS 60529,,8,,Not checked,Text PDF,Usable,https://mkp.gem.gov.in/uploaded_documents/51/16/877/OrderItem/BoqDocument/2022/7/25/final-tender-doc_2022-07-25-15-42-06_9b01c6bd90b7f2ca03a45cf0f420c35b.pdf,IS 11171; IS 60529
1705127450.pdf,Unclassified,IS 6665,,1,,No,Text PDF,Usable,https://bidplus.gem.gov.in/bidding/bid/documentdownload/5891788/1705127450.pdf,
GEM2025B5968293.pdf,LED lighting,IS 374; IS 694; IS 781; IS 1169; IS 1239 (Part 2); IS 1293; IS 1364 (Part 3); IS 1445; IS 1554; IS 1554 (Part 1); IS 1570; IS 1709; IS 1862; IS 2022; IS 2148; IS 2266; IS 2268; IS 2312; IS 2932; IS 2997; IS 3854; IS 3986; IS 4003; IS 4148; IS 4985; IS 7098 (Part 1); IS 7098 (Part 2); IS 7809 (Part 3); IS 8034; IS 8448; IS 8931; IS 9815 (Part 1); IS 9926; IS 9968 (Part 1); IS 10124; IS 10322; IS 10322 (Part 5); IS 11037; IS 12592; IS 12640; IS 12640 (Part 2); IS 12818; IS 13032; IS 13730 (Part 0); IS 13730 (Part 3); IS 13779; IS 14221; IS 14329; IS 14886; IS 15500 (Part 3); IS 16102; IS 16103; IS 16107; IS 16108; IS 16833; IS 60898 (Part 1); IS 60947,,57,,Not checked,Text PDF,Multi-scope,https://www.lgbrimh.gov.in/resources/2025/tender/GeMBid/GEM2025B5968293.pdf,
specification_2026-02-06-14-37-47_321285,LED lighting,IS 10322 (Part 5); IS 15885; IS 16102 (Part 2); IS 16107,,4,,No,Text PDF,Usable,https://mkp.gem.gov.in/uploaded_documents/51/16/877/OrderItem/BoqDocument/2026/2/6/specification_2026-02-06-14-37-47_321285580874dfb985f50e00cf79f716.pdf,
technical_specifications_2025-08-27-11-5,LED lighting,IS 15885; IS 15885 (Part 2); IS 16101; IS 16102 (Part 1); IS 16102 (Part 2); IS 16103 (Part 1); IS 16103 (Part 2); IS 16105; IS 16106; IS 16107; IS 16107 (Part 1); IS 16108; IS 60529,,13,,Not checked,Text PDF,Usable,https://mkp.gem.gov.in/catalog_data/catalog_support_document/buyer_documents/10818215/54/78/703/CatalogAttrs/SpecificationDocument/2025/8/27/technical_specifications_2025-08-27-11-53-55_36226e170f5a49fdaa66a59bc86c11d5.pdf,IS 60529
NIT76.pdf,LED lighting,IS 209; IS 220; IS 875; IS 1534 (Part 1); IS 2062; IS 2629; IS 4759; IS 6573; IS 9103; IS 10322; IS 14700; IS 14700 (Part 3); IS 14930; IS 15885; IS 16104; IS 16105; IS 16106; IS 16108; IS 60439,,19,,Not checked,Text PDF,Usable,https://aiimsbhubaneswar.nic.in/wp-content/uploads/2025/11/NIT76.pdf,IS 209; IS 220; IS 875; IS 2062; IS 2629; IS 4759; IS 6573; IS 9103; IS 14700; IS 14700 (Part 3); IS 60439
2024-02-12_gallery_img_1707722951.pdf,Unclassified,,,0,,Not checked,Text PDF,Extraction failed,https://www.immt.res.in/webroot/upload/admin/tender/2024-02-12_gallery_img_1707722951.pdf,
"Tender for Design, Supply, Installation,",Electrical cables and wiring,IS 1800; IS 2062; IS 3043; IS 8500,,4,,Not checked,Text PDF,Usable,"https://spg.nic.in/docs/Tenders/Tender%20for%20Design,%20Supply,%20Installation,%20Integration,%20Testing%20&%20Commissioning%20of%20Latest%20Release%20Digital%20Open%20Standard%20APCO%20Phase-II%20System.pdf",IS 1800; IS 2062; IS 8500
msd-084-20-z-digital-upright-reflected.p,Unclassified,,,0,,Not checked,Text PDF,Extraction failed,https://www.nal.res.in/themes/stark/medias/other/1526/msd-084-20-z-digital-upright-reflected.pdf,
1754388480.pdf,Unclassified,,,0,,Not checked,Text PDF,Extraction failed,https://bidplus.gem.gov.in/bidding/bid/documentdownload/8137265/1754388480.pdf,
TD LED Lights -Final for upoading 30-10-,Electrical cables and wiring,IS 120; IS 209; IS 226; IS 280; IS 335; IS 875; IS 1255; IS 1554; IS 1852; IS 2062; IS 2509; IS 2629; IS 2633; IS 2830; IS 3043; IS 3419; IS 3961; IS 3975; IS 4759; IS 4984; IS 5216; IS 5819; IS 5831; IS 6380; IS 7098; IS 7098 (Part 1); IS 8130; IS 8623; IS 9537 (Part 5); IS 9968 (Part 1); IS 10011; IS 10322; IS 10418; IS 13408; IS 14930; IS 15885; IS 60947,,37,,Not checked,Text PDF,Usable,https://cochinport.gov.in/sites/default/files/2025-11/TD%20LED%20Lights%20-Final%20for%20upoading%2030-10-2025%20SENT%20TO%20BIDDERS.pdf,IS 120; IS 209; IS 226; IS 280; IS 335; IS 875; IS 1852; IS 2062; IS 2509; IS 2629; IS 2633; IS 2830; IS 3975; IS 4759; IS 8623; IS 10011; IS 13408; IS 60947
1687111400.pdf,Unclassified,,,0,,Not checked,Text PDF,Extraction failed,https://bidplus.gem.gov.in/bidding/bid/documentdownload/4916321/1687111400.pdf,
rural_e_ms_11_2017.pdf,Unclassified,,,0,,Not checked,Scanned PDF,Not extractable,https://cms.tn.gov.in/cms_migrated/document/GO/rural_e_ms_11_2017.pdf,
annexure-a_2024-01-04-11-58-23_cdaaba9ce,Unclassified,,,0,,Not checked,Scanned PDF,Not extractable,https://mkp.gem.gov.in/catalog_data/catalog_support_document/buyer_documents/964935/54/78/703/CatalogAttrs/SpecificationDocument/2024/1/4/annexure-a_2024-01-04-11-58-23_cdaaba9cecfa4df78661976c6fa2310a.pdf,
1701407983.pdf,LED lighting,IS 10322; IS 16106,,2,,No,Text PDF,Usable,https://bidplus.gem.gov.in/bidding/bid/documentdownload/5615150/1701407983.pdf,
technical_sepification_of_80_wat_led_str,LED lighting,IS 10322; IS 16101; IS 16104; IS 16107,,4,,No,Text PDF,Usable,https://mkp.gem.gov.in/catalog_data/catalog_support_document/buyer_documents/473336/54/78/703/CatalogAttrs/SpecificationDocument/2023/12/12/technical_sepification_of_80_wat_led_street_light_2023-12-12-16-15-05_98c898810aa091c37c983d2fb18f70ce.pdf,
technnical_3_2026-07-04-18-00-21_dc56cd4,Unclassified,,,0,,Not checked,Text PDF,Extraction failed,https://mkp.gem.gov.in/catalog_data/catalog_support_document/buyer_documents/16868790/54/78/703/CatalogAttrs/SpecificationDocument/2026/7/4/technnical_3_2026-07-04-18-00-21_dc56cd4b81729ab7e9b147e9be439f2a.pdf,
rural_e_ms_21_2017.pdf,Unclassified,,,0,,Not checked,Scanned PDF,Not extractable,https://cms.tn.gov.in/cms_migrated/document/GO/rural_e_ms_21_2017.pdf,
Tender_Notice_Torsion_Test_Apparatus_290,LED lighting,IS 16102,,1,,No,Text PDF,Usable,https://www.bis.gov.in/other/Tender_Notice_Torsion_Test_Apparatus_29012016.pdf,
1734066044_gem-bidding-7228017.pdf,Electrical cables and wiring,IS 245; IS 694; IS 1534 (Part 1); IS 2418 (Part 1); IS 7098 (Part 1); IS 7098 (Part 2); IS 8309; IS 9974 (Part 1); IS 12402; IS 12449 (Part 1); IS 16102; IS 60840,,12,,Not checked,Text PDF,Usable,https://www.icmr.gov.in/icmrobject/uploads/Tender/1734066044_gem-bidding-7228017.pdf,IS 245; IS 12402; IS 60840
open_tender_enquiry_2025-09-16-13-35-59.,LED lighting,IS 16102,,1,,No,Text PDF,Usable,https://ucil.gov.in/public/uploads/open_tender_enquiry/open_tender_enquiry_2025-09-16-13-35-59.pdf,
c18b250009_tender_document-signed_1_2025,LED lighting,IS 10322; IS 15885; IS 16101; IS 16103; IS 16106; IS 16107; IS 16108,,7,,No,Text PDF,Usable,https://mkp.gem.gov.in/uploaded_documents/51/16/877/OrderItem/BoqDocument/2025/2/3/c18b250009_tender_document-signed_1_2025-02-03-14-40-30_f6997b03b01f79a0f750c18669954bd7.pdf,
Tender_Document2.pdf,Unclassified,IS 585; IS 870; IS 14286; IS 16664; IS 16781; IS 16911; IS 17210; IS 17293; IS 61701; IS 61730,,10,,Not checked,Text PDF,Usable,https://www.seci.co.in/uploads/tenders/Tender_Document2.pdf,IS 585; IS 870; IS 14286; IS 16664; IS 16781; IS 16911; IS 17210; IS 17293; IS 61701; IS 61730
1765451876_693aa86491b03_202504161114205,Unclassified,,,0,,Not checked,Text PDF,Extraction failed,https://dgma.gov.in/download/1765451876_693aa86491b03_202504161114205937895publishedinfo-socialmediasupportagency-update.pdf,
wbmsc-tender-2142.pdf,Unclassified,,,0,,Not checked,Text PDF,Extraction failed,https://www.wbmsc.gov.in/tender/wbmsc-tender-2142.pdf,
1714628081.pdf,LED lighting,IS 16102; IS 16102 (Part 1); IS 16102 (Part 2); IS 16102 (Part I); IS 16106,,5,,No,Text PDF,Usable,https://bidplus.gem.gov.in/bidding/bid/documentdownload/6360480/1714628081.pdf,
led_bulb_and_tube_2024-02-09-12-45-45_a9,LED lighting,IS 2418; IS 2418 (Part 1); IS 2418 (Part II); IS 15885 (Part 2); IS 16102; IS 16102 (Part 1); IS 16102 (Part 2); IS 16104; IS 16106; IS 16108,,10,,No,Text PDF,Usable,https://mkp.gem.gov.in/uploaded_documents/51/16/877/OrderItem/BoqDocument/2024/2/9/led_bulb_and_tube_2024-02-09-12-45-45_a9b2103319f1c66aa088a1bc239d9449.pdf,
item_specification_2026-03-07-10-40-50_c,LED lighting,IS 16102,,1,,No,Text PDF,Usable,https://mkp.gem.gov.in/catalog_data/catalog_support_document/buyer_documents/4115214/54/78/703/CatalogAttrs/SpecificationDocument/2026/3/7/item_specification_2026-03-07-10-40-50_c46b59baa1de96e8347a6e513a45868b.pdf,
led_14_approval_2025-03-05-10-14-41_9f79,Unclassified,,,0,,Not checked,Scanned PDF,Not extractable,https://mkp.gem.gov.in/catalog_data/catalog_support_document/buyer_documents/13102929/54/78/703/CatalogAttrs/SpecificationDocument/2025/3/5/led_14_approval_2025-03-05-10-14-41_9f79e0e7a4c621a1d15e8afafde66388.pdf,
led_bulb_9w_specifications_2025-03-05-09,Unclassified,,,0,,Not checked,Scanned PDF,Not extractable,https://mkp.gem.gov.in/catalog_data/catalog_support_document/buyer_documents/13102929/54/78/703/CatalogAttrs/SpecificationDocument/2025/3/5/led_bulb_9w_specifications_2025-03-05-09-49-53_fcd6eae46fc686b909a0075ebcc4c70c.pdf,
il_02_specs__2025-09-23-17-17-47_c99b748,Electrical cables and wiring,IS 100; IS 1415; IS 9968 (Part 1); IS 10322; IS 10322 (Part 1); IS 10322 (Part 5),,6,,Not checked,Text PDF,Usable,https://mkp.gem.gov.in/catalog_data/catalog_support_document/buyer_documents/8640287/54/78/703/CatalogAttrs/SpecificationDocument/2025/9/23/il_02_specs__2025-09-23-17-17-47_c99b748a9ef88cce915d55d3e82189ef.pdf,IS 100; IS 1415
specification_2026-02-24-15-55-16_68c207,LED lighting,IS 10322; IS 10322 (Part 1); IS 10322 (Part 5); IS 15885 (Part 2); IS 16103; IS 16105; IS 16106; IS 16107; IS 16107 (Part 2); IS 16108,,10,,No,Text PDF,Usable,https://mkp.gem.gov.in/catalog_data/catalog_support_document/buyer_documents/566213/54/78/703/CatalogAttrs/SpecificationDocument/2026/2/24/specification_2026-02-24-15-55-16_68c207fa65f669f329ebf73dc56ee6e0.pdf,
tps_2024-09-25-18-27-50_700c9385e25ed828,LED lighting,IS 10322; IS 10322 (Part 1); IS 15885 (Part 2); IS 16105; IS 16106,,5,,No,Text PDF,Usable,https://mkp.gem.gov.in/uploaded_documents/51/16/877/OrderItem/BoqDocument/2024/9/25/tps_2024-09-25-18-27-50_700c9385e25ed8287ceddd5ced5a42c2.pdf,
1782541951.pdf,LED lighting,IS 9968; IS 10322 (Part 1); IS 10322 (Part 5); IS 16104; IS 16106; IS 16107 (Part 2),,6,,No,Text PDF,Usable,https://bidplus.gem.gov.in/bidding/bid/documentdownload/9527241/1782541951.pdf,
led_2023-07-06-14-40-31_79a0acf698f42156,Electrical cables and wiring,IS 7098; IS 10322 (Part 1),,2,,No,Text PDF,Usable,https://mkp.gem.gov.in/catalog_data/catalog_support_document/buyer_documents/1864532/54/78/703/CatalogAttrs/SpecificationDocument/2023/7/6/led_2023-07-06-14-40-31_79a0acf698f4215635ffe022f2fcec41.pdf,
1724236850.pdf,Unclassified,,,0,,Not checked,Text PDF,Extraction failed,https://bidplus.gem.gov.in/bidding/bid/documentdownload/6807753/1724236850.pdf,
1785324507488_14263004A.pdf,Unclassified,,,0,,Not checked,Text PDF,Extraction failed,https://clw.indianrailways.gov.in/clw/notice/1785324507488_14263004A.pdf,
20260429711291261.pdf,LED lighting,IS 10322 (Part 5); IS 14286; IS 16046; IS 16046 (Part 2); IS 61730,,5,,Not checked,Text PDF,Usable,https://cdnbbsr.s3waas.gov.in/s3f80ff32e08a25270b5f252ce39522f72/uploads/2026/04/20260429711291261.pdf,IS 14286; IS 16046; IS 16046 (Part 2); IS 61730
Bid_doc_forDIpipes202410042024.pdf,Unclassified,,,0,,Not checked,Scanned PDF,Not extractable,https://megphed.gov.in/notices/Bid_doc_forDIpipes202410042024.pdf,
1770968745_96f1ab34d5e39ee54d3b.pdf,Unclassified,,,0,,Not checked,Other,Not extractable,https://www.phed.mp.gov.in/uploads/pdfDownloads/1770968745_96f1ab34d5e39ee54d3b.pdf,
Technical Bid_3.pdf,Pipes (PVC and GI),IS 383; IS 456; IS 638; IS 780; IS 1489; IS 1538; IS 1542; IS 1938; IS 2116; IS 2505; IS 2506; IS 2720; IS 3114; IS 3764; IS 4656; IS 5382; IS 8112; IS 8329; IS 8887; IS 12269,,20,,Not checked,Text PDF,Usable,https://www.cochinport.gov.in/sites/default/files/2024-08/Technical%20Bid_3.pdf,IS 383; IS 456; IS 638; IS 780; IS 1489; IS 1538; IS 1542; IS 1938; IS 2116; IS 2505; IS 2506; IS 2720; IS 3114; IS 3764; IS 4656; IS 5382; IS 8112; IS 8329; IS 8887; IS 12269
enit_14_med_31102024.pdf,Unclassified,,,0,,Not checked,Other,Not extractable,https://udma.wb.gov.in/public/uploads/tender_pdf/enit_14_med_31102024.pdf,
e-Tender-no-18-en.pdf,Unclassified,,,0,,Not checked,Scanned PDF,Not extractable,https://mjp.maharashtra.gov.in/wp-content/uploads/2023/03/e-Tender-no-18-en.pdf,
BID-21_5459_01.07.2026.pdf,Pipes (PVC and GI),IS 8329,,1,,Not checked,Text PDF,Usable,https://odisha.gov.in/sites/default/files/2026-07/BID-21_5459_01.07.2026.pdf,IS 8329
scope_of_work_gidc_water_line_2026-03-20,Pipes (PVC and GI),IS 8329; IS 9523,,2,,Not checked,Text PDF,Usable,https://mkp.gem.gov.in/catalog_data/catalog_support_document/buyer_documents/20207975/54/78/703/CatalogAttrs/SpecificationDocument/2026/3/20/scope_of_work_gidc_water_line_2026-03-20-12-30-12_8cdfdea9df35d69ada6bf2fb2c230f9e.pdf,IS 8329; IS 9523
